Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1 µF","C_0805_2012Metric",140.500000,-91.500000,0.000000,top
"C2","1 µF","C_0805_2012Metric",129.000000,-83.500000,-90.000000,top
"C3","1 µF","C_0805_2012Metric",143.500000,-94.500000,-90.000000,top
"C4","1 µF","C_0805_2012Metric",136.500000,-83.450000,-90.000000,top
"C5","15 pF","C_0603_1608Metric",161.500000,-109.500000,90.000000,top
"C6","15 pF","C_0603_1608Metric",158.500000,-103.500000,180.000000,top
"C7","4.7 µF","C_0805_2012Metric",158.500000,-88.000000,180.000000,top
"C8","100 nF","C_0603_1608Metric",160.000000,-113.500000,90.000000,top
"C9","4.7 µF","C_0805_2012Metric",174.000000,-94.000000,0.000000,top
"C10","100 nF","C_0603_1608Metric",144.500000,-87.000000,0.000000,top
"C11","100 nF","C_0603_1608Metric",172.500000,-101.500000,180.000000,top
"C12","100 nF","C_0603_1608Metric",172.500000,-99.500000,180.000000,top
"C13","100 nF","C_0603_1608Metric",171.000000,-108.000000,180.000000,top
"C14","100 nF","C_0603_1608Metric",135.500000,-89.500000,-90.000000,top
"C15","100 nF","C_0603_1608Metric",151.500000,-86.000000,-90.000000,top
"C16","100 nF","C_0603_1608Metric",157.000000,-114.000000,90.000000,top
"C17","4.7 µF","C_0805_2012Metric",159.000000,-84.050000,90.000000,top
"C18","100 nF","C_0603_1608Metric",150.000000,-86.000000,-90.000000,top
"C19","10 µF","C_0805_2012Metric",154.260000,-97.000000,-90.000000,top
"C20","100 nF","C_0603_1608Metric",171.000000,-106.500000,0.000000,top
"C21","4.7 µF","C_0805_2012Metric",161.000000,-84.050000,90.000000,top
"C22","100 nF","C_0603_1608Metric",157.500000,-94.500000,0.000000,top
"C23","1 µF","C_0805_2012Metric",136.000000,-103.500000,90.000000,top
"C24","100 nF","C_0603_1608Metric",144.500000,-111.500000,90.000000,top
"C25","100 nF","C_0603_1608Metric",147.000000,-111.000000,0.000000,top
"C26","100 nF","C_0603_1608Metric",143.000000,-111.500000,90.000000,top
"C27","10 nF","C_0603_1608Metric",172.725000,-104.500000,0.000000,top
"C28","3.3 pF","C_0603_1608Metric",139.500000,-111.500000,90.000000,top
"C29","100 nF","C_0603_1608Metric",151.000000,-95.500000,-90.000000,top
"J3","FTSH-105-01-L-DV-K","FTSH-105-01-L-DV-K",165.000000,-104.000000,0.000000,top
"L1","3.3 µH","AOTA-B201610S3R3-101-T",164.500000,-87.500000,180.000000,top
"R1","5.1 kΩ","R_0603_1608Metric",166.000000,-84.500000,180.000000,top
"R2","5.1 kΩ","R_0603_1608Metric",165.000000,-79.000000,90.000000,top
"R3","33 Ω","R_0603_1608Metric",172.500000,-97.500000,0.000000,top
"R4","1 kΩ","R_0603_1608Metric",140.500000,-87.500000,0.000000,top
"R5","27 Ω","R_0603_1608Metric",156.000000,-84.500000,90.000000,top
"R6","27 Ω","R_0603_1608Metric",154.500000,-84.500000,90.000000,top
"R7","1 kΩ","R_0603_1608Metric",158.500000,-105.000000,0.000000,top
"R8","4.7 kΩ","R_0603_1608Metric",135.500000,-95.000000,90.000000,top
"R9","4.7 kΩ","R_0603_1608Metric",135.500000,-98.000000,-90.000000,top
"R10","10 kΩ","R_0603_1608Metric",138.000000,-103.500000,-90.000000,top
"R11","10 kΩ","R_0603_1608Metric",139.500000,-103.500000,90.000000,top
"R12","10 kΩ","R_0603_1608Metric",147.000000,-112.500000,0.000000,top
"R13","11 kΩ","R_0603_1608Metric",147.000000,-109.500000,180.000000,top
"R14","10 kΩ","R_0603_1608Metric",138.500000,-114.000000,180.000000,top
"R15","100 kΩ","R_0603_1608Metric",138.000000,-111.500000,-90.000000,top
"SW1","SW_RESET","SW_SPST_PTS645Sx43SMTR92",167.500000,-112.500000,0.000000,top
"SW2","USB_BOOT","SW_SPST_PTS645Sx43SMTR92",144.000000,-82.500000,0.000000,top
"U1","USBLC6-2SC6","SOT-23-6",160.000000,-79.000000,180.000000,top
"U2","AP2112K-3.3","SOT-23-5",133.000000,-83.500000,0.000000,top
"U3","TPS7A2033PDBVR","SOT-23-5",139.500000,-94.500000,0.000000,top
"U5","OPA320AIDBVR","SOT-23-5",139.000000,-107.500000,-90.000000,top
"U6","TLV3201AIDBVR","SOT-23-5",143.450000,-107.500000,-90.000000,top
"Y1","ABM8-272-T3","ABM8-272-T3_3225",158.175000,-108.650000,0.000000,top
"Y2","SiT5346","SiT5346_5.0x3.2mm_10L",148.000000,-95.500000,0.000000,top
