Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1 µF","C_0805_2012Metric",132.137500,-82.500000,-90.000000,top
"C2","1 µF","C_0805_2012Metric",139.500000,-82.500000,-90.000000,top
"C3","4.7 µF","C_0805_2012Metric",157.500000,-85.550000,90.000000,top
"C4","4.7 µF","C_0805_2012Metric",162.500000,-85.550000,90.000000,top
"C5","4.7 µF","C_0805_2012Metric",168.000000,-89.000000,0.000000,top
"C6","100 nF","C_0603_1608Metric",167.500000,-95.000000,0.000000,top
"C7","4.7 µF","C_0805_2012Metric",165.000000,-88.000000,90.000000,top
"C8","100 nF","C_0603_1608Metric",134.500000,-93.500000,90.000000,top
"C9","100 nF","C_0603_1608Metric",163.500000,-112.500000,90.000000,top
"C10","100 nF","C_0603_1608Metric",163.500000,-97.000000,-90.000000,top
"C11","100 nF","C_0603_1608Metric",137.500000,-106.000000,90.000000,top
"C12","100 nF","C_0603_1608Metric",167.500000,-91.000000,180.000000,top
"C13","100 nF","C_0603_1608Metric",153.500000,-90.000000,-90.000000,top
"C14","100 nF","C_0603_1608Metric",154.000000,-86.000000,-90.000000,top
"C15","100 nF","C_0603_1608Metric",159.500000,-85.875000,-90.000000,top
"C16","100 nF","C_0603_1608Metric",167.500000,-97.000000,180.000000,top
"C17","100 nF","C_0603_1608Metric",167.500000,-93.000000,180.000000,top
"C18","15 pF","C_0603_1608Metric",163.500000,-105.000000,-90.000000,top
"C19","15 pF","C_0603_1608Metric",159.500000,-108.000000,180.000000,top
"C21","100 nF","C_0603_1608Metric",138.500000,-94.500000,90.000000,top
"C22","1 µF","C_0805_2012Metric",135.000000,-98.500000,-90.000000,top
"C24","100 nF","C_0603_1608Metric",135.500000,-106.000000,90.000000,top
"C25","10 µF","C_0805_2012Metric",133.500000,-105.500000,90.000000,top
"J3","FTSH-105-01-L-DV-K","FTSH-105-01-L-DV-K",170.500000,-109.500000,180.000000,top
"L1","3.3 µH","AOTA-B201610S3R3-101-T",161.500000,-89.000000,0.000000,top
"R1","5.1 kΩ","R_0603_1608Metric",165.000000,-83.500000,-90.000000,top
"R2","5.1 kΩ","R_0603_1608Metric",163.500000,-76.500000,180.000000,top
"R3","33 Ω","R_0603_1608Metric",164.500000,-91.500000,90.000000,top
"R4","27 Ω","R_0603_1608Metric",155.000000,-82.000000,90.000000,top
"R5","27 Ω","R_0603_1608Metric",153.000000,-82.000000,90.000000,top
"R6","1 kΩ","R_0603_1608Metric",160.500000,-102.000000,0.000000,top
"R7","1 kΩ","R_0603_1608Metric",152.000000,-86.000000,-90.000000,top
"R8","10 kΩ","R_0603_1608Metric",136.500000,-94.500000,-90.000000,top
"R9","100 kΩ","R_0603_1608Metric",144.500000,-90.000000,0.000000,top
"R10","100 kΩ","R_0603_1608Metric",135.500000,-101.500000,180.000000,top
"R11","10 kΩ","R_0603_1608Metric",145.000000,-92.000000,180.000000,top
"R12","4.7 kΩ","R_0603_1608Metric",132.500000,-94.000000,90.000000,top
"R13","4.7 kΩ","R_0603_1608Metric",132.500000,-98.000000,-90.000000,top
"SW1","SW_RESET","SW_SPST_PTS645Sx43SMTR92",170.500000,-102.000000,180.000000,top
"SW2","USB_BOOT","SW_SPST_PTS645Sx43SMTR92",146.000000,-80.500000,0.000000,top
"U1","USBLC6-2SC6","SOT-23-6",158.500000,-79.000000,180.000000,top
"U2","AP2112K-3.3","SOT-23-5",135.637500,-82.500000,0.000000,top
"U4","74AHCT1G125","SOT-23-5",139.000000,-91.000000,0.000000,top
"U5","TPS22919DCK","SOT-363_SC-70-6",138.000000,-98.000000,0.000000,top
"Y1","ABM8-272-T3","ABM8-272-T3_3225",160.000000,-105.000000,0.000000,top
"Y3","SiT5346","SiT5346_5.0x3.2mm_10L",133.000000,-111.000000,0.000000,top
